param,param_value,policy,seed,metric,value,diff_from_baseline
consumption_alpha,0.2,ownership_cap_hard,2,annual_appreciation_g,-0.00409786973545978,0.005369252630387011
consumption_alpha,0.2,purchase_tax,2,homeownership_rate,0.40302267002518893,-0.031977329974811064
consumption_alpha,0.2,purchase_tax,2,rental_vacancy_rate,0.04035874439461883,0.03533361876647813
consumption_alpha,0.2,purchase_tax,2,annual_appreciation_g,-0.03,-0.020532877634153207
consumption_alpha,0.2,vacancy_tax,2,homeownership_rate,0.44155844155844154,0.006558441558441541
consumption_alpha,0.2,vacancy_tax,2,rental_vacancy_rate,0.14601769911504425,0.14099257348690356
consumption_alpha,0.2,vacancy_tax,2,annual_appreciation_g,-0.03,-0.020532877634153207
consumption_alpha,0.2,portfolio_tax,2,homeownership_rate,0.435,0.0
consumption_alpha,0.2,portfolio_tax,2,rental_vacancy_rate,0.005025125628140704,0.0
consumption_alpha,0.2,portfolio_tax,2,annual_appreciation_g,-0.009467122365846792,0.0
consumption_alpha,0.2,geographic,2,homeownership_rate,0.27970297029702973,-0.15529702970297027
consumption_alpha,0.2,geographic,2,rental_vacancy_rate,0.12362637362637363,0.11860124799823293
consumption_alpha,0.2,geographic,2,annual_appreciation_g,0.027746901371248578,0.03721402373709537
consumption_alpha,0.2,baseline,3,homeownership_rate,0.4739454094292804,0.0
consumption_alpha,0.2,baseline,3,rental_vacancy_rate,0.24782608695652175,0.0
consumption_alpha,0.2,baseline,3,annual_appreciation_g,-0.018964710782448546,0.0
consumption_alpha,0.2,waiting_period,3,homeownership_rate,0.5380710659898477,0.06412565656056729
consumption_alpha,0.2,waiting_period,3,rental_vacancy_rate,0.3047619047619048,0.05693581780538304
consumption_alpha,0.2,waiting_period,3,annual_appreciation_g,0.0,0.018964710782448546
consumption_alpha,0.2,ownership_cap_soft,3,homeownership_rate,0.43896103896103894,-0.03498437046824143
consumption_alpha,0.2,ownership_cap_soft,3,rental_vacancy_rate,0.2878787878787879,0.04005270092226615
consumption_alpha,0.2,ownership_cap_soft,3,annual_appreciation_g,0.0012499999999999734,0.02021471078244852
consumption_alpha,0.2,ownership_cap_hard,3,homeownership_rate,0.456359102244389,-0.017586307184891348
consumption_alpha,0.2,ownership_cap_hard,3,rental_vacancy_rate,0.24166666666666667,-0.006159420289855083
consumption_alpha,0.2,ownership_cap_hard,3,annual_appreciation_g,-0.021973427309509574,-0.0030087165270610283
consumption_alpha,0.2,purchase_tax,3,homeownership_rate,0.49222797927461137,0.018282569845330998
consumption_alpha,0.2,purchase_tax,3,rental_vacancy_rate,0.19491525423728814,-0.05291083271923361
consumption_alpha,0.2,purchase_tax,3,annual_appreciation_g,-0.03,-0.011035289217551453
consumption_alpha,0.2,vacancy_tax,3,homeownership_rate,0.49627791563275436,0.02233250620347399
consumption_alpha,0.2,vacancy_tax,3,rental_vacancy_rate,0.27631578947368424,0.028489702517162485
consumption_alpha,0.2,vacancy_tax,3,annual_appreciation_g,-0.03,-0.011035289217551453
consumption_alpha,0.2,portfolio_tax,3,homeownership_rate,0.4739454094292804,0.0
consumption_alpha,0.2,portfolio_tax,3,rental_vacancy_rate,0.24782608695652175,0.0
consumption_alpha,0.2,portfolio_tax,3,annual_appreciation_g,-0.018964710782448546,0.0
consumption_alpha,0.2,geographic,3,homeownership_rate,0.23872679045092837,-0.235218618978352
consumption_alpha,0.2,geographic,3,rental_vacancy_rate,0.12111801242236025,-0.1267080745341615
consumption_alpha,0.2,geographic,3,annual_appreciation_g,-0.03,-0.011035289217551453
consumption_alpha,0.2,baseline,4,homeownership_rate,0.5117493472584856,0.0
consumption_alpha,0.2,baseline,4,rental_vacancy_rate,0.2692307692307692,0.0
consumption_alpha,0.2,baseline,4,annual_appreciation_g,-0.009757217277654662,0.0
consumption_alpha,0.2,waiting_period,4,homeownership_rate,0.5012224938875306,-0.010526853370955047
consumption_alpha,0.2,waiting_period,4,rental_vacancy_rate,0.13942307692307693,-0.1298076923076923
consumption_alpha,0.2,waiting_period,4,annual_appreciation_g,0.015736964177455404,0.025494181455110065
consumption_alpha,0.2,ownership_cap_soft,4,homeownership_rate,0.4534005037783375,-0.05834884348014813
consumption_alpha,0.2,ownership_cap_soft,4,rental_vacancy_rate,0.06046511627906977,-0.20876565295169947
consumption_alpha,0.2,ownership_cap_soft,4,annual_appreciation_g,-0.011183992298563039,-0.0014267750209083774
consumption_alpha,0.2,ownership_cap_hard,4,homeownership_rate,0.4201474201474201,-0.09160192711106552
consumption_alpha,0.2,ownership_cap_hard,4,rental_vacancy_rate,0.10666666666666667,-0.16256410256410253
consumption_alpha,0.2,ownership_cap_hard,4,annual_appreciation_g,-0.03,-0.020242782722345337
consumption_alpha,0.2,purchase_tax,4,homeownership_rate,0.4844124700239808,-0.02733687723450484
consumption_alpha,0.2,purchase_tax,4,rental_vacancy_rate,0.14018691588785046,-0.12904385334291876
consumption_alpha,0.2,purchase_tax,4,annual_appreciation_g,-0.03,-0.020242782722345337
consumption_alpha,0.2,vacancy_tax,4,homeownership_rate,0.4573643410852713,-0.054385006173214345
consumption_alpha,0.2,vacancy_tax,4,rental_vacancy_rate,0.15625,-0.11298076923076922
consumption_alpha,0.2,vacancy_tax,4,annual_appreciation_g,-0.03,-0.020242782722345337
consumption_alpha,0.2,portfolio_tax,4,homeownership_rate,0.5117493472584856,0.0
consumption_alpha,0.2,portfolio_tax,4,rental_vacancy_rate,0.2692307692307692,0.0
consumption_alpha,0.2,portfolio_tax,4,annual_appreciation_g,-0.009757217277654662,0.0
consumption_alpha,0.2,geographic,4,homeownership_rate,0.23785166240409208,-0.2738976848543936
consumption_alpha,0.2,geographic,4,rental_vacancy_rate,0.05142857142857143,-0.21780219780219778
consumption_alpha,0.2,geographic,4,annual_appreciation_g,0.0,0.009757217277654662
consumption_alpha,0.2,baseline,5,homeownership_rate,0.4475,0.0
consumption_alpha,0.2,baseline,5,rental_vacancy_rate,0.18181818181818182,0.0
consumption_alpha,0.2,baseline,5,annual_appreciation_g,-0.014777507794305866,0.0
consumption_alpha,0.2,waiting_period,5,homeownership_rate,0.43341404358353514,-0.014085956416464873
consumption_alpha,0.2,waiting_period,5,rental_vacancy_rate,0.052132701421800945,-0.1296854803963809
consumption_alpha,0.2,waiting_period,5,annual_appreciation_g,-0.0003377585551641582,0.014439749239141708
consumption_alpha,0.2,ownership_cap_soft,5,homeownership_rate,0.4529262086513995,0.005426208651399478
