seed,arm,homeownership_rate,rental_vacancy_rate,mean_ltv_owner_occupier,mean_lti_owner_occupier,annual_appreciation_g
21,baseline,0.21763085399449036,0.09343434343434344,0.7596473391921136,2.5862661770567748,0.012453095242621837
22,baseline,0.2628398791540785,0.1784776902887139,0.8204653991096039,2.5129297846387098,-0.0019222966594979463
23,baseline,0.27298850574712646,0.16336633663366337,0.7814682572160953,2.6200129389128355,0.06877850281044862
24,baseline,0.3134715025906736,0.10301507537688442,0.7910867152436653,2.4603472929130814,0.024426862787331194
25,baseline,0.2582781456953642,0.211340206185567,0.791800101228314,2.603081688363897,-0.0014493322905561046
26,baseline,0.30344827586206896,0.03424657534246575,0.779745976215801,2.674251631859442,0.024156796681563453
27,baseline,0.2699228791773779,0.05808080808080808,0.7743200034206711,2.562415900785615,-0.010681654235739302
28,baseline,0.271689497716895,0.011655011655011656,0.7793944730882985,2.5228377877393307,0.03741932977876705
29,baseline,0.3059490084985836,0.1174934725848564,0.7913917760224716,2.545274725445157,0.042113326143472296
30,baseline,0.23872679045092837,0.08040201005025126,0.7496703336234404,2.4906290824893795,-0.03
31,baseline,0.31645569620253167,0.07711442786069651,0.7795707148691611,2.6909808176750847,0.009621172662281241
32,baseline,0.23543123543123542,0.05442176870748299,0.7585084797482161,2.737849785845817,0.13126899999083053
33,baseline,0.2589641434262948,0.0,0.7602395194101962,2.491002137203079,0.09279758579907504
34,baseline,0.23929471032745592,0.08845208845208845,0.7775354412538075,2.4822735858310465,0.002039454542805741
35,baseline,0.2415966386554622,0.006437768240343348,0.760582191470363,2.493002769488708,0.05794274496644425
36,baseline,0.2026315789473684,0.0951219512195122,0.752384036178762,2.7337105279364806,0.025228955679763576
37,baseline,0.21479713603818615,0.07424593967517401,0.7692170850962445,2.6561472341827628,0.0
38,baseline,0.30217391304347824,0.02631578947368421,0.7750643571984746,2.4885638910368937,0.026696947296304785
39,baseline,0.23482849604221637,0.02197802197802198,0.7732937448695111,2.7813618951583994,0.029862141077689364
0,policy,0.2882882882882883,0.1099476439790576,0.7999586288569004,2.6527301569837167,-0.02964344913529493
1,policy,0.2607449856733524,0.1396508728179551,0.7717056534340058,2.617122239614226,0.04030832547502228
2,policy,0.23607427055702918,0.11270983213429256,0.7765254395682921,2.714346272186044,0.022683404563642817
3,policy,0.28967254408060455,0.06281407035175879,0.7838022388647529,2.3621997559981716,0.06245697294950614
4,policy,0.3161290322580645,0.17307692307692307,0.8109219653185515,2.7752921842125557,0.0052852775013516595
5,policy,0.27901234567901234,0.06265060240963856,0.7943864706994955,2.668126912870698,0.014352819198940825
6,policy,0.2981029810298103,0.10886075949367088,0.7944100411194439,2.6060499472238132,0.05173088593011066
7,policy,0.19196428571428573,0.013100436681222707,0.7545517999279456,2.585362408599997,-0.03
8,policy,0.23676880222841226,0.10621761658031088,0.7813041067100865,2.5924789339604364,-0.025538276951233452
9,policy,0.3133159268929504,0.05370843989769821,0.7857896240534942,2.743350281888866,-0.03
10,policy,0.2670157068062827,0.1368909512761021,0.7767929314130836,2.5395163798828215,-0.018695912969960315
11,policy,0.23399014778325122,0.0,0.7591833323165772,2.7179732899932643,0.05206868160694622
12,policy,0.28191489361702127,0.03655352480417755,0.792240668560332,2.592391403142877,0.05856259934729047
13,policy,0.25588235294117645,0.12694300518134716,0.7762208356529214,2.693795106690002,0.04895829008946895
14,policy,0.27055702917771884,0.08450704225352113,0.7816445061589479,2.4417457957631505,0.04940394023706762
15,policy,0.28225806451612906,0.0026666666666666666,0.7835948859137505,2.687554176381312,0.15677818428271006
16,policy,0.2997946611909651,0.0044943820224719105,0.7823076727059775,2.8040179939449734,0.008734223423925824
17,policy,0.23728813559322035,0.04708520179372197,0.7781484268684057,2.7911606580927413,0.012563944482742118
18,policy,0.2682926829268293,0.022222222222222223,0.7743300947641174,2.5029441970493713,0.026259587395395023
19,policy,0.23184357541899442,0.08542713567839195,0.7744917371906841,2.7419355739709417,0.007967420053665464
