NAME,total_units,sfr_detached,sfr_attached,two_unit,small_multifamily,mf_5_9,mf_10_19,mf_20_49,mf_50plus,state,county,tract,owner_occupied,renter_occupied,owner_share,total_households,income_under_10k,income_30_35k,income_40_45k,income_75_100k,income_100_125k,income_200k_plus,total_vacant,vacant_for_rent,vacant_for_sale,GEOID
"Census Tract 307, Cobb County, Georgia",2093.0,1276.0,108.0,48.0,24.0,67.0,204.0,183.0,183.0,13,67,30700,748.0,1137.0,0.396816976127321,1885.0,259.0,144.0,57.0,160.0,70.0,133.0,208.0,76.0,34.0,30780
"Census Tract 303.35, Cobb County, Georgia",1801.0,1776.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,13,67,30335,1625.0,115.0,0.9339080459770116,1740.0,32.0,0.0,16.0,219.0,139.0,597.0,61.0,0.0,61.0,30415
"Census Tract 312.09, Cobb County, Georgia",1891.0,1581.0,293.0,0.0,17.0,0.0,0.0,0.0,0.0,13,67,31209,1603.0,220.0,0.8793198025233132,1823.0,18.0,18.0,0.0,137.0,158.0,585.0,68.0,0.0,24.0,31289
"Census Tract 312.11, Cobb County, Georgia",2831.0,77.0,375.0,0.0,37.0,465.0,1016.0,553.0,308.0,13,67,31211,766.0,1757.0,0.3036068172810147,2523.0,48.0,87.0,115.0,457.0,471.0,273.0,308.0,176.0,0.0,31291
"Census Tract 312.12, Cobb County, Georgia",1065.0,855.0,148.0,0.0,19.0,22.0,0.0,16.0,0.0,13,67,31212,967.0,45.0,0.9555335968379448,1012.0,21.0,0.0,23.0,88.0,72.0,460.0,53.0,0.0,35.0,31292
"Census Tract 313.12, Cobb County, Georgia",4079.0,2722.0,764.0,17.0,40.0,126.0,0.0,0.0,30.0,13,67,31312,2959.0,775.0,0.7924477771826459,3734.0,110.0,97.0,179.0,403.0,469.0,494.0,345.0,0.0,59.0,31392
"Census Tract 313.13, Cobb County, Georgia",4215.0,3319.0,767.0,0.0,90.0,39.0,0.0,0.0,0.0,13,67,31313,3277.0,810.0,0.8018106190359677,4087.0,53.0,25.0,67.0,472.0,671.0,867.0,128.0,12.0,59.0,31393
"Census Tract 314.08, Cobb County, Georgia",2601.0,2071.0,109.0,170.0,69.0,124.0,0.0,0.0,16.0,13,67,31408,1514.0,947.0,0.6151970743600162,2461.0,106.0,176.0,116.0,492.0,288.0,48.0,140.0,0.0,0.0,31488
"Census Tract 314.09, Cobb County, Georgia",2461.0,2214.0,103.0,25.0,53.0,38.0,19.0,9.0,0.0,13,67,31409,1670.0,643.0,0.7220060527453523,2313.0,87.0,83.0,132.0,380.0,181.0,21.0,148.0,18.0,18.0,31489
"Census Tract 315.06, Cobb County, Georgia",2072.0,1874.0,160.0,0.0,0.0,0.0,0.0,30.0,0.0,13,67,31506,1471.0,515.0,0.7406847935548841,1986.0,97.0,30.0,67.0,205.0,143.0,100.0,86.0,0.0,0.0,31586
"Census Tract 315.07, Cobb County, Georgia",1211.0,925.0,275.0,0.0,11.0,0.0,0.0,0.0,0.0,13,67,31507,853.0,286.0,0.7489025460930641,1139.0,44.0,7.0,47.0,184.0,158.0,55.0,72.0,14.0,0.0,31587
"Census Tract 315.08, Cobb County, Georgia",2138.0,2057.0,44.0,0.0,24.0,0.0,0.0,0.0,0.0,13,67,31508,1805.0,323.0,0.8482142857142857,2128.0,60.0,88.0,68.0,324.0,191.0,219.0,10.0,0.0,0.0,31588
"Census Tract 315.09, Cobb County, Georgia",3837.0,3602.0,196.0,0.0,18.0,0.0,0.0,0.0,0.0,13,67,31509,2980.0,601.0,0.8321697849762636,3581.0,136.0,173.0,91.0,590.0,377.0,183.0,256.0,0.0,66.0,31589
"Census Tract 303.32, Cobb County, Georgia",1129.0,1094.0,0.0,0.0,0.0,0.0,11.0,0.0,24.0,13,67,30332,1008.0,110.0,0.9016100178890876,1118.0,28.0,23.0,7.0,94.0,176.0,234.0,11.0,0.0,0.0,30412
"Census Tract 303.36, Cobb County, Georgia",2452.0,2452.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,67,30336,2337.0,54.0,0.9774153074027604,2391.0,64.0,54.0,12.0,169.0,160.0,987.0,61.0,0.0,31.0,30416
"Census Tract 304.05, Cobb County, Georgia",3073.0,1270.0,580.0,65.0,101.0,353.0,488.0,190.0,26.0,13,67,30405,973.0,1988.0,0.3286052009456264,2961.0,100.0,357.0,187.0,278.0,202.0,0.0,112.0,35.0,0.0,30485
"Census Tract 305.04, Cobb County, Georgia",2624.0,1989.0,584.0,0.0,25.0,15.0,0.0,0.0,0.0,13,67,30504,1674.0,716.0,0.700418410041841,2390.0,215.0,38.0,124.0,362.0,227.0,269.0,234.0,36.0,90.0,30584
"Census Tract 309.02, Cobb County, Georgia",2485.0,1129.0,532.0,12.0,51.0,132.0,259.0,189.0,116.0,13,67,30902,1150.0,1164.0,0.4969749351771824,2314.0,119.0,47.0,119.0,344.0,126.0,257.0,171.0,69.0,39.0,30982
