NAME,total_vacant,vacant_for_rent,vacant_for_sale,state,county,tract
"Census Tract 311.14, Cobb County, Georgia",428.0,188.0,0.0,13,067,031114
"Census Tract 301.04, Cobb County, Georgia",172.0,55.0,29.0,13,067,030104
"Census Tract 301.06, Cobb County, Georgia",258.0,76.0,0.0,13,067,030106
"Census Tract 301.07, Cobb County, Georgia",96.0,0.0,24.0,13,067,030107
"Census Tract 302.18, Cobb County, Georgia",100.0,0.0,22.0,13,067,030218
"Census Tract 302.19, Cobb County, Georgia",70.0,15.0,0.0,13,067,030219
"Census Tract 302.22, Cobb County, Georgia",34.0,0.0,24.0,13,067,030222
"Census Tract 302.23, Cobb County, Georgia",159.0,74.0,39.0,13,067,030223
"Census Tract 302.20, Cobb County, Georgia",26.0,0.0,18.0,13,067,030220
"Census Tract 302.24, Cobb County, Georgia",209.0,91.0,0.0,13,067,030224
"Census Tract 302.26, Cobb County, Georgia",107.0,69.0,0.0,13,067,030226
"Census Tract 302.27, Cobb County, Georgia",316.0,155.0,52.0,13,067,030227
"Census Tract 302.29, Cobb County, Georgia",114.0,50.0,0.0,13,067,030229
"Census Tract 302.31, Cobb County, Georgia",142.0,32.0,0.0,13,067,030231
"Census Tract 311.15, Cobb County, Georgia",206.0,0.0,40.0,13,067,031115
"Census Tract 311.16, Cobb County, Georgia",380.0,13.0,94.0,13,067,031116
"Census Tract 311.17, Cobb County, Georgia",127.0,27.0,0.0,13,067,031117
"Census Tract 311.18, Cobb County, Georgia",195.0,0.0,36.0,13,067,031118
"Census Tract 312.05, Cobb County, Georgia",273.0,41.0,0.0,13,067,031205
"Census Tract 312.06, Cobb County, Georgia",326.0,181.0,0.0,13,067,031206
"Census Tract 312.07, Cobb County, Georgia",515.0,273.0,0.0,13,067,031207
"Census Tract 312.08, Cobb County, Georgia",371.0,222.0,0.0,13,067,031208
"Census Tract 303.29, Cobb County, Georgia",19.0,0.0,0.0,13,067,030329
"Census Tract 303.37, Cobb County, Georgia",149.0,47.0,28.0,13,067,030337
"Census Tract 309.01, Cobb County, Georgia",262.0,52.0,98.0,13,067,030901
"Census Tract 311.11, Cobb County, Georgia",98.0,0.0,50.0,13,067,031111
"Census Tract 315.05, Cobb County, Georgia",127.0,0.0,56.0,13,067,031505
"Census Tract 302.15, Cobb County, Georgia",67.0,0.0,0.0,13,067,030215
"Census Tract 303.13, Cobb County, Georgia",101.0,0.0,101.0,13,067,030313
"Census Tract 303.18, Cobb County, Georgia",245.0,0.0,45.0,13,067,030318
"Census Tract 309.04, Cobb County, Georgia",254.0,26.0,126.0,13,067,030904
"Census Tract 310.02, Cobb County, Georgia",351.0,110.0,32.0,13,067,031002
"Census Tract 313.11, Cobb County, Georgia",498.0,78.0,40.0,13,067,031311
"Census Tract 314.06, Cobb County, Georgia",234.0,39.0,39.0,13,067,031406
"Census Tract 303.19, Cobb County, Georgia",8.0,0.0,8.0,13,067,030319
"Census Tract 303.22, Cobb County, Georgia",37.0,18.0,0.0,13,067,030322
"Census Tract 303.33, Cobb County, Georgia",160.0,0.0,30.0,13,067,030333
"Census Tract 314.04, Cobb County, Georgia",253.0,0.0,80.0,13,067,031404
"Census Tract 301.01, Cobb County, Georgia",45.0,0.0,0.0,13,067,030101
"Census Tract 302.14, Cobb County, Georgia",98.0,0.0,18.0,13,067,030214
"Census Tract 303.34, Cobb County, Georgia",68.0,21.0,0.0,13,067,030334
"Census Tract 303.24, Cobb County, Georgia",59.0,0.0,0.0,13,067,030324
"Census Tract 303.31, Cobb County, Georgia",49.0,0.0,0.0,13,067,030331
"Census Tract 211.02, DeKalb County, Georgia",331.0,93.0,40.0,13,089,021102
"Census Tract 212.16, DeKalb County, Georgia",942.0,601.0,72.0,13,089,021216
"Census Tract 211.01, DeKalb County, Georgia",91.0,0.0,12.0,13,089,021101
"Census Tract 212.15, DeKalb County, Georgia",277.0,105.0,0.0,13,089,021215
"Census Tract 212.17, DeKalb County, Georgia",76.0,61.0,0.0,13,089,021217
"Census Tract 212.18, DeKalb County, Georgia",339.0,105.0,41.0,13,089,021218
"Census Tract 213.05, DeKalb County, Georgia",201.0,40.0,0.0,13,089,021305
"Census Tract 202, DeKalb County, Georgia",152.0,73.0,0.0,13,089,020200
"Census Tract 213.03, DeKalb County, Georgia",119.0,54.0,0.0,13,089,021303
"Census Tract 214.05, DeKalb County, Georgia",30.0,15.0,0.0,13,089,021405
"Census Tract 204, DeKalb County, Georgia",97.0,24.0,13.0,13,089,020400
"Census Tract 208.01, DeKalb County, Georgia",129.0,0.0,27.0,13,089,020801
"Census Tract 212.10, DeKalb County, Georgia",106.0,0.0,11.0,13,089,021210
"Census Tract 212.11, DeKalb County, Georgia",37.0,0.0,9.0,13,089,021211
"Census Tract 217.06, DeKalb County, Georgia",446.0,157.0,49.0,13,089,021706
"Census Tract 230, DeKalb County, Georgia",55.0,0.0,0.0,13,089,023000
"Census Tract 218.12, DeKalb County, Georgia",70.0,22.0,21.0,13,089,021812
"Census Tract 219.07, DeKalb County, Georgia",328.0,40.0,34.0,13,089,021907
"Census Tract 223.01, DeKalb County, Georgia",180.0,59.0,0.0,13,089,022301
"Census Tract 231.01, DeKalb County, Georgia",297.0,60.0,65.0,13,089,023101
"Census Tract 231.08, DeKalb County, Georgia",166.0,36.0,28.0,13,089,023108
"Census Tract 218.10, DeKalb County, Georgia",204.0,0.0,57.0,13,089,021810
"Census Tract 220.08, DeKalb County, Georgia",232.0,30.0,0.0,13,089,022008
"Census Tract 229, DeKalb County, Georgia",230.0,23.0,9.0,13,089,022900
"Census Tract 231.02, DeKalb County, Georgia",167.0,30.0,7.0,13,089,023102
"Census Tract 234.10, DeKalb County, Georgia",350.0,116.0,0.0,13,089,023410
"Census Tract 213.06, DeKalb County, Georgia",141.0,79.0,0.0,13,089,021306
"Census Tract 213.07, DeKalb County, Georgia",52.0,0.0,0.0,13,089,021307
"Census Tract 213.08, DeKalb County, Georgia",116.0,63.0,0.0,13,089,021308
"Census Tract 214.09, DeKalb County, Georgia",106.0,19.0,0.0,13,089,021409
"Census Tract 214.10, DeKalb County, Georgia",164.0,41.0,8.0,13,089,021410
"Census Tract 214.11, DeKalb County, Georgia",189.0,48.0,0.0,13,089,021411
"Census Tract 214.12, DeKalb County, Georgia",128.0,31.0,58.0,13,089,021412
"Census Tract 214.13, DeKalb County, Georgia",148.0,78.0,0.0,13,089,021413
"Census Tract 214.14, DeKalb County, Georgia",342.0,260.0,0.0,13,089,021414
"Census Tract 214.15, DeKalb County, Georgia",153.0,51.0,21.0,13,089,021415
"Census Tract 214.16, DeKalb County, Georgia",130.0,21.0,0.0,13,089,021416
"Census Tract 214.17, DeKalb County, Georgia",238.0,169.0,0.0,13,089,021417
"Census Tract 216.05, DeKalb County, Georgia",218.0,57.0,0.0,13,089,021605
"Census Tract 218.13, DeKalb County, Georgia",79.0,0.0,0.0,13,089,021813
"Census Tract 218.14, DeKalb County, Georgia",118.0,63.0,6.0,13,089,021814
"Census Tract 219.11, DeKalb County, Georgia",298.0,101.0,0.0,13,089,021911
"Census Tract 215.03, DeKalb County, Georgia",242.0,97.0,0.0,13,089,021503
"Census Tract 215.04, DeKalb County, Georgia",319.0,70.0,90.0,13,089,021504
"Census Tract 233.15, DeKalb County, Georgia",22.0,0.0,0.0,13,089,023315
"Census Tract 233.16, DeKalb County, Georgia",271.0,121.0,35.0,13,089,023316
"Census Tract 234.19, DeKalb County, Georgia",86.0,0.0,0.0,13,089,023419
"Census Tract 234.21, DeKalb County, Georgia",440.0,0.0,0.0,13,089,023421
"Census Tract 234.23, DeKalb County, Georgia",992.0,78.0,44.0,13,089,023423
"Census Tract 234.25, DeKalb County, Georgia",422.0,0.0,20.0,13,089,023425
"Census Tract 234.26, DeKalb County, Georgia",127.0,0.0,0.0,13,089,023426
"Census Tract 234.27, DeKalb County, Georgia",70.0,0.0,10.0,13,089,023427
"Census Tract 234.28, DeKalb County, Georgia",521.0,150.0,29.0,13,089,023428
"Census Tract 9800, DeKalb County, Georgia",0.0,0.0,0.0,13,089,980000
"Census Tract 234.22, DeKalb County, Georgia",192.0,0.0,0.0,13,089,023422
"Census Tract 234.24, DeKalb County, Georgia",135.0,0.0,9.0,13,089,023424
"Census Tract 212.14, DeKalb County, Georgia",9.0,0.0,0.0,13,089,021214
"Census Tract 212.09, DeKalb County, Georgia",278.0,74.0,23.0,13,089,021209
