NAME,total_units,sfr_detached,sfr_attached,two_unit,small_multifamily,mf_5_9,mf_10_19,mf_20_49,mf_50plus,state,county,tract
"Census Tract 313.08, Cobb County, Georgia",1992.0,1523.0,49.0,82.0,77.0,93.0,73.0,61.0,0.0,13,067,031308
"Census Tract 313.09, Cobb County, Georgia",2887.0,2314.0,169.0,50.0,16.0,28.0,87.0,0.0,0.0,13,067,031309
"Census Tract 313.10, Cobb County, Georgia",2953.0,657.0,220.0,21.0,63.0,347.0,431.0,362.0,255.0,13,067,031310
"Census Tract 302.28, Cobb County, Georgia",3674.0,1111.0,236.0,0.0,47.0,328.0,773.0,604.0,575.0,13,067,030228
"Census Tract 302.30, Cobb County, Georgia",5717.0,2355.0,946.0,0.0,0.0,253.0,1237.0,570.0,201.0,13,067,030230
"Census Tract 302.32, Cobb County, Georgia",2225.0,2196.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,13,067,030232
"Census Tract 302.33, Cobb County, Georgia",1565.0,1556.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,067,030233
"Census Tract 302.34, Cobb County, Georgia",2165.0,2151.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,13,067,030234
"Census Tract 302.35, Cobb County, Georgia",1730.0,1699.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,13,067,030235
"Census Tract 302.36, Cobb County, Georgia",1569.0,1569.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,067,030236
"Census Tract 302.38, Cobb County, Georgia",2077.0,2062.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,13,067,030238
"Census Tract 302.39, Cobb County, Georgia",2784.0,2680.0,88.0,0.0,0.0,0.0,0.0,0.0,16.0,13,067,030239
"Census Tract 303.40, Cobb County, Georgia",1283.0,1270.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,13,067,030340
"Census Tract 303.41, Cobb County, Georgia",1588.0,1565.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,067,030341
"Census Tract 303.42, Cobb County, Georgia",1686.0,1675.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,067,030342
"Census Tract 303.43, Cobb County, Georgia",1572.0,1572.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,067,030343
"Census Tract 303.44, Cobb County, Georgia",2308.0,11.0,184.0,31.0,200.0,544.0,583.0,558.0,197.0,13,067,030344
"Census Tract 303.45, Cobb County, Georgia",3220.0,119.0,514.0,109.0,224.0,479.0,585.0,679.0,511.0,13,067,030345
"Census Tract 304.07, Cobb County, Georgia",2092.0,1620.0,185.0,16.0,12.0,74.0,134.0,42.0,9.0,13,067,030407
"Census Tract 304.08, Cobb County, Georgia",1522.0,865.0,83.0,0.0,86.0,58.0,138.0,254.0,20.0,13,067,030408
