date,hpi,trail_1_3,trail_13_15,g
2015-01-01,120.896704268594,358.770280984135,342.54286018848,0.04737340251881483
2015-02-01,121.563723073532,361.187533407718,344.654442002196,0.047970051711727635
2015-03-01,122.085394974134,363.021388690531,345.936898501321,0.049386146037684764
2015-04-01,122.105331725177,364.54582231626,347.39702654272503,0.04936368035212846
2015-05-01,122.423862037068,365.75444977284303,348.74739450675503,0.04876611419604049
2015-06-01,122.893517443806,366.614588736379,349.664805726326,0.0484743752658916
2015-07-01,123.538985724423,367.422711206051,349.461040567538,0.05139820624737612
2015-08-01,123.910476501796,368.85636520529704,348.880465961479,0.057257144474301525
2015-09-01,124.966016252725,370.342979670025,349.04069782294,0.06103093988739139
2015-10-01,125.738493518065,372.415478478944,350.26056192026397,0.0632526723454625
2015-11-01,126.361550879854,374.614986272586,352.53136581736305,0.06264299462835288
2015-12-01,126.87548901274,377.066060650644,355.618129849943,0.06031169111021195
2016-01-01,127.692832161413,378.975533410659,358.770280984135,0.05631807732541105
2016-02-01,128.68878866498,380.929872054007,361.187533407718,0.05465952398751073
2016-03-01,129.331720663622,383.25710983913297,363.021388690531,0.055742503827653334
2016-04-01,129.661028736088,385.71334149001495,364.54582231626,0.05806545536377361
2016-05-01,130.101298779499,387.68153806469,365.75444977284303,0.05995029809060459
2016-06-01,130.282252701873,389.09404817920904,366.614588736379,0.061316325464053856
2016-07-01,130.505757434911,390.04458021746007,367.422711206051,0.06156905471943652
2016-08-01,130.944879768869,390.88930891628297,368.85636520529704,0.059733125924837704
2016-09-01,131.874032334117,391.732889905653,370.342979670025,0.05775702905097968
2016-10-01,133.063996671169,393.324669537897,372.415478478944,0.05614479597988886
2016-11-01,133.720167093809,395.882908774155,374.614986272586,0.056772748771170445
2016-12-01,134.413440358211,398.658196099095,377.066060650644,0.05726353470050527
2017-01-01,134.728815788227,401.19760412318897,378.975533410659,0.05863721732254956
2017-02-01,135.403882295078,402.86242324024704,380.929872054007,0.057576348811863465
2017-03-01,136.069549045672,404.546138441516,383.25710983913297,0.05554764166363113
2017-04-01,136.927045395946,406.20224712897704,385.71334149001495,0.0531195150258823
2017-05-01,137.225795117012,408.400476736696,387.68153806469,0.05344319147988097
2017-06-01,137.507592506058,410.2223895586301,389.09404817920904,0.054301373866530556
2017-07-01,137.919839516943,411.66043301901607,390.04458021746007,0.05541892875297649
2017-08-01,138.491115830157,412.653227140013,390.88930891628297,0.05567795723057545
2017-09-01,139.472254325367,413.918547853158,391.732889905653,0.056634657235056896
2017-10-01,139.879218931583,415.883209672467,393.324669537897,0.05735348398327811
2017-11-01,140.578849918873,417.84258908710706,395.882908774155,0.05547013984753679
2017-12-01,141.524488612265,419.930323175823,398.658196099095,0.053359312024379824
2018-01-01,143.217492037373,421.982557462721,401.19760412318897,0.05180727184290457
2018-02-01,143.867672779806,425.320830568511,402.86242324024704,0.05574708891345481
2018-03-01,144.16315989908,428.60965342944405,404.546138441516,0.05948274548023358
2018-04-01,144.322486250652,431.248324716259,406.20224712897704,0.06165913104692744
2018-05-01,144.986125916039,432.35331892953803,408.400476736696,0.05865037764949754
2018-06-01,145.398956362657,433.471772065771,410.2223895586301,0.05667506966685942
2018-07-01,146.054904413276,434.707568529348,411.66043301901607,0.05598579232235146
2018-08-01,146.660452721412,436.43998669197197,412.653227140013,0.057643459417047405
2018-09-01,147.490086279521,438.11431349734505,413.918547853158,0.05845537913118792
2018-10-01,148.22332166616,440.205443414209,415.883209672467,0.058483326991963125
2018-11-01,149.058763810215,442.37386066709297,417.84258908710706,0.058709361421441786
2018-12-01,149.775978876573,444.77217175589595,419.930323175823,0.059157072516698994
2019-01-01,150.141459266283,447.058064352948,421.982557462721,0.05942308857740475
2019-02-01,150.660247986508,448.976201953071,425.320830568511,0.05561771181754893
2019-03-01,150.81139723857,450.577686129364,428.60965342944405,0.05125417153847711
2019-04-01,151.453056941396,451.613104491361,431.248324716259,0.04722286118676777
2019-05-01,151.623938575127,452.92470216647405,432.35331892953803,0.04758002850046039
2019-06-01,151.939312746764,453.888392755093,433.471772065771,0.047100231214650234
2019-07-01,151.980313039495,455.016308263287,434.707568529348,0.04671816458739175
2019-08-01,152.635304440017,455.54356436138596,436.43998669197197,0.04377137350363092
2019-09-01,153.398557738462,456.55493022627604,438.11431349734505,0.042090879391099234
2019-10-01,154.504128482913,458.014175217974,440.205443414209,0.040455501107940606
2019-11-01,155.365564509571,460.537990661392,442.37386066709297,0.04106058609997376
2019-12-01,155.939217437902,463.26825073094597,444.77217175589595,0.04158551309995451
2020-01-01,156.926079552603,465.80891043038594,447.058064352948,0.041942753240738595
2020-02-01,157.676613447718,468.230861500076,448.976201953071,0.042885701877396265
2020-03-01,157.801054400088,470.541910438223,450.577686129364,0.04430806256820974
2020-04-01,158.057782168906,472.403747400409,451.613104491361,0.04603640306776269
2020-05-01,158.048160572644,473.535450016712,452.92470216647405,0.04550590363398288
2020-06-01,158.448357542141,473.906997141638,453.888392755093,0.044104684556995455
2020-07-01,159.201516691797,474.55430028369096,455.016308263287,0.04293910276529833
2020-08-01,160.426962868893,475.69803480658203,455.54356436138596,0.0442426850513189
2020-09-01,162.575952190956,478.07683710283106,456.55493022627604,0.0471397973205292
2020-10-01,165.019259280152,482.204431751646,458.014175217974,0.05281551934972217
2020-11-01,167.594746406231,488.022174340001,460.537990661392,0.05967842878529561
