NAME,total_households,income_under_10k,income_30_35k,income_40_45k,income_75_100k,income_100_125k,income_200k_plus,state,county,tract
"Census Tract 302.35, Cobb County, Georgia",1653.0,65.0,19.0,33.0,232.0,95.0,199.0,13,067,030235
"Census Tract 302.36, Cobb County, Georgia",1474.0,28.0,16.0,21.0,142.0,171.0,418.0,13,067,030236
"Census Tract 302.38, Cobb County, Georgia",2047.0,54.0,38.0,60.0,229.0,263.0,405.0,13,067,030238
"Census Tract 302.39, Cobb County, Georgia",2612.0,21.0,18.0,16.0,306.0,436.0,769.0,13,067,030239
"Census Tract 303.40, Cobb County, Georgia",1246.0,0.0,27.0,19.0,160.0,106.0,414.0,13,067,030340
"Census Tract 303.41, Cobb County, Georgia",1544.0,0.0,10.0,63.0,180.0,184.0,296.0,13,067,030341
"Census Tract 303.42, Cobb County, Georgia",1686.0,11.0,10.0,40.0,231.0,198.0,469.0,13,067,030342
"Census Tract 303.43, Cobb County, Georgia",1536.0,55.0,8.0,41.0,221.0,251.0,381.0,13,067,030343
"Census Tract 303.44, Cobb County, Georgia",2006.0,129.0,76.0,74.0,205.0,107.0,7.0,13,067,030344
"Census Tract 303.45, Cobb County, Georgia",2770.0,97.0,147.0,160.0,390.0,340.0,114.0,13,067,030345
"Census Tract 304.07, Cobb County, Georgia",1968.0,35.0,20.0,66.0,202.0,110.0,206.0,13,067,030407
"Census Tract 304.08, Cobb County, Georgia",1343.0,65.0,53.0,59.0,236.0,154.0,202.0,13,067,030408
"Census Tract 304.09, Cobb County, Georgia",1195.0,100.0,65.0,18.0,97.0,172.0,343.0,13,067,030409
"Census Tract 304.10, Cobb County, Georgia",2112.0,104.0,175.0,114.0,276.0,204.0,135.0,13,067,030410
"Census Tract 304.11, Cobb County, Georgia",870.0,88.0,41.0,32.0,42.0,62.0,12.0,13,067,030411
"Census Tract 304.12, Cobb County, Georgia",1935.0,211.0,87.0,105.0,291.0,119.0,0.0,13,067,030412
"Census Tract 304.13, Cobb County, Georgia",2545.0,192.0,146.0,132.0,251.0,123.0,33.0,13,067,030413
"Census Tract 304.14, Cobb County, Georgia",1461.0,173.0,56.0,116.0,172.0,78.0,22.0,13,067,030414
"Census Tract 305.06, Cobb County, Georgia",1879.0,46.0,168.0,62.0,302.0,167.0,19.0,13,067,030506
"Census Tract 305.07, Cobb County, Georgia",1942.0,35.0,67.0,79.0,430.0,204.0,145.0,13,067,030507
"Census Tract 306.01, Cobb County, Georgia",4499.0,195.0,101.0,596.0,1280.0,436.0,145.0,13,067,030601
"Census Tract 306.02, Cobb County, Georgia",3117.0,120.0,143.0,162.0,278.0,321.0,560.0,13,067,030602
"Census Tract 311.13, Cobb County, Georgia",744.0,37.0,7.0,34.0,29.0,6.0,18.0,13,067,031113
"Census Tract 311.14, Cobb County, Georgia",3692.0,360.0,181.0,191.0,675.0,218.0,14.0,13,067,031114
"Census Tract 301.04, Cobb County, Georgia",1512.0,103.0,71.0,60.0,229.0,184.0,17.0,13,067,030104
"Census Tract 301.06, Cobb County, Georgia",2628.0,39.0,184.0,127.0,493.0,276.0,22.0,13,067,030106
"Census Tract 301.07, Cobb County, Georgia",1692.0,10.0,32.0,52.0,179.0,241.0,85.0,13,067,030107
"Census Tract 302.18, Cobb County, Georgia",1662.0,0.0,18.0,9.0,149.0,230.0,369.0,13,067,030218
"Census Tract 302.19, Cobb County, Georgia",3301.0,61.0,27.0,113.0,479.0,389.0,714.0,13,067,030219
"Census Tract 302.22, Cobb County, Georgia",2030.0,30.0,46.0,45.0,271.0,321.0,247.0,13,067,030222
"Census Tract 302.23, Cobb County, Georgia",2386.0,123.0,82.0,101.0,357.0,428.0,65.0,13,067,030223
"Census Tract 302.20, Cobb County, Georgia",581.0,55.0,8.0,45.0,78.0,68.0,36.0,13,067,030220
"Census Tract 302.24, Cobb County, Georgia",2317.0,134.0,61.0,65.0,411.0,240.0,212.0,13,067,030224
"Census Tract 302.26, Cobb County, Georgia",4034.0,182.0,111.0,175.0,829.0,518.0,260.0,13,067,030226
"Census Tract 302.27, Cobb County, Georgia",3098.0,160.0,80.0,165.0,481.0,200.0,118.0,13,067,030227
"Census Tract 302.29, Cobb County, Georgia",1353.0,70.0,54.0,77.0,233.0,105.0,124.0,13,067,030229
"Census Tract 302.31, Cobb County, Georgia",2912.0,87.0,80.0,120.0,472.0,350.0,560.0,13,067,030231
"Census Tract 311.15, Cobb County, Georgia",1720.0,102.0,144.0,9.0,306.0,170.0,81.0,13,067,031115
"Census Tract 311.16, Cobb County, Georgia",1761.0,219.0,59.0,152.0,195.0,106.0,43.0,13,067,031116
"Census Tract 311.17, Cobb County, Georgia",2238.0,64.0,106.0,145.0,308.0,332.0,227.0,13,067,031117
"Census Tract 311.18, Cobb County, Georgia",2412.0,43.0,26.0,133.0,343.0,257.0,234.0,13,067,031118
"Census Tract 312.05, Cobb County, Georgia",2865.0,38.0,139.0,111.0,462.0,236.0,413.0,13,067,031205
"Census Tract 312.06, Cobb County, Georgia",5361.0,208.0,283.0,171.0,717.0,637.0,829.0,13,067,031206
"Census Tract 312.07, Cobb County, Georgia",2690.0,29.0,185.0,145.0,536.0,258.0,300.0,13,067,031207
"Census Tract 312.08, Cobb County, Georgia",3082.0,60.0,124.0,29.0,578.0,407.0,189.0,13,067,031208
"Census Tract 303.29, Cobb County, Georgia",1669.0,28.0,38.0,48.0,184.0,235.0,198.0,13,067,030329
"Census Tract 303.37, Cobb County, Georgia",1587.0,16.0,8.0,20.0,102.0,123.0,673.0,13,067,030337
"Census Tract 309.01, Cobb County, Georgia",3261.0,60.0,258.0,64.0,410.0,238.0,456.0,13,067,030901
"Census Tract 311.11, Cobb County, Georgia",1959.0,116.0,43.0,89.0,237.0,307.0,187.0,13,067,031111
"Census Tract 315.05, Cobb County, Georgia",2244.0,33.0,77.0,101.0,296.0,238.0,69.0,13,067,031505
"Census Tract 302.15, Cobb County, Georgia",3189.0,40.0,67.0,42.0,565.0,408.0,172.0,13,067,030215
"Census Tract 303.13, Cobb County, Georgia",3019.0,70.0,116.0,92.0,381.0,349.0,90.0,13,067,030313
"Census Tract 303.18, Cobb County, Georgia",2776.0,42.0,42.0,66.0,233.0,260.0,847.0,13,067,030318
"Census Tract 309.04, Cobb County, Georgia",2557.0,236.0,133.0,328.0,250.0,100.0,0.0,13,067,030904
"Census Tract 310.02, Cobb County, Georgia",3279.0,238.0,317.0,65.0,381.0,109.0,14.0,13,067,031002
"Census Tract 313.11, Cobb County, Georgia",3527.0,310.0,282.0,158.0,393.0,358.0,44.0,13,067,031311
"Census Tract 314.06, Cobb County, Georgia",3295.0,509.0,185.0,57.0,370.0,174.0,0.0,13,067,031406
"Census Tract 303.19, Cobb County, Georgia",1762.0,70.0,127.0,43.0,222.0,197.0,463.0,13,067,030319
"Census Tract 303.22, Cobb County, Georgia",1194.0,9.0,26.0,51.0,172.0,188.0,168.0,13,067,030322
"Census Tract 303.33, Cobb County, Georgia",2156.0,73.0,46.0,45.0,205.0,133.0,566.0,13,067,030333
"Census Tract 314.04, Cobb County, Georgia",2164.0,68.0,14.0,107.0,408.0,355.0,122.0,13,067,031404
"Census Tract 301.01, Cobb County, Georgia",2746.0,222.0,151.0,80.0,405.0,230.0,201.0,13,067,030101
"Census Tract 302.14, Cobb County, Georgia",2950.0,34.0,62.0,77.0,412.0,256.0,221.0,13,067,030214
"Census Tract 303.34, Cobb County, Georgia",1258.0,55.0,28.0,15.0,197.0,121.0,302.0,13,067,030334
"Census Tract 303.24, Cobb County, Georgia",1225.0,0.0,6.0,16.0,147.0,124.0,195.0,13,067,030324
"Census Tract 303.31, Cobb County, Georgia",1983.0,33.0,0.0,30.0,332.0,215.0,417.0,13,067,030331
"Census Tract 211.02, DeKalb County, Georgia",3203.0,182.0,46.0,130.0,493.0,283.0,768.0,13,089,021102
"Census Tract 212.16, DeKalb County, Georgia",4112.0,76.0,147.0,59.0,813.0,538.0,603.0,13,089,021216
"Census Tract 211.01, DeKalb County, Georgia",1468.0,26.0,90.0,41.0,107.0,36.0,573.0,13,089,021101
