activity_year,lei,county_code,census_tract,loan_type,loan_purpose,action_taken,occupancy_type,loan_amount,loan_to_value_ratio,property_value,income,debt_to_income_ratio,total_units,purchaser_type,applicant_credit_score_type,interest_rate,ltv_derived,lti_derived,is_first_lien_purchase,is_investor_occupied,downpayment_pct
2019,5493001R92DY5DI1DI85,13121,13121010206.0,1,1,1,1,1885000.0,80.0,2355000.0,1035.0,<20%,1,9,7,4.5,80.0,1.821256038647343,True,False,20.0
2019,5493001R92DY5DI1DI85,13089,13089021102.0,3,1,1,1,765000.0,90.67,845000.0,138.0,50%-60%,1,71,7,3.75,90.67,5.543478260869565,True,False,9.329999999999998
2019,5493001R92DY5DI1DI85,13121,13121011419.0,1,1,1,2,415000.0,80.0,525000.0,150.0,49,1,6,7,4.375,80.0,2.7666666666666666,True,False,20.0
2019,5493001R92DY5DI1DI85,13121,13121001300.0,1,1,1,1,295000.0,90.0,335000.0,66.0,46,1,6,7,4.0,90.0,4.46969696969697,True,False,10.0
2019,5493001R92DY5DI1DI85,13121,13121009403.0,1,1,1,2,325000.0,61.538,525000.0,452.0,<20%,1,6,7,4.49,61.538,0.7190265486725663,True,False,38.462
2019,5493001R92DY5DI1DI85,13135,13135050321.0,1,1,1,1,295000.0,80.0,375000.0,59.0,46,1,6,7,3.99,80.0,5.0,True,False,20.0
2019,5493001R92DY5DI1DI85,13121,13121011412.0,1,1,1,1,605000.0,80.0,755000.0,269.0,38,1,9,7,4.875,80.0,2.2490706319702602,True,False,20.0
2019,5493001R92DY5DI1DI85,13121,13121010400.0,1,1,1,1,475000.0,95.0,505000.0,400.0,20%-<30%,1,6,7,3.625,95.0,1.1875,True,False,5.0
2019,5493001R92DY5DI1DI85,13223,13223120103.0,1,1,1,1,295000.0,78.307,375000.0,1828.0,<20%,1,1,7,3.625,78.307,0.1613785557986871,True,False,21.692999999999998
2019,5493001R92DY5DI1DI85,13067,13067030602.0,1,1,1,1,305000.0,75.0,405000.0,135.0,20%-<30%,1,71,7,6.56,75.0,2.259259259259259,True,False,25.0
2019,5493001R92DY5DI1DI85,13121,13121010110.0,1,1,1,2,185000.0,90.0,205000.0,115.0,46,1,6,7,3.75,90.0,1.608695652173913,True,False,10.0
2019,5493001R92DY5DI1DI85,13121,13121011504.0,1,1,1,1,415000.0,95.0,445000.0,360.0,40,1,71,7,4.75,95.0,1.1527777777777777,True,False,5.0
2019,5493001R92DY5DI1DI85,13121,13121010002.0,1,1,1,1,505000.0,50.0,1005000.0,352.0,42,1,6,7,4.0,50.0,1.4346590909090908,True,False,50.0
