date,hpi,trail_1_3,trail_13_15,g
2020-01-31,256256.5577622225,758377.1333458433,719405.0254327601,0.05417269345545561
2020-02-29,258156.1159804829,763239.9526449462,724325.8429744403,0.053724591008247335
2020-03-31,259863.0778428173,768732.4993560056,729219.9758979063,0.05418464217117269
2020-04-30,261050.544811084,774275.7515855227,733758.9156129463,0.05521818557902036
2020-05-31,261453.10557704695,779069.7386343842,737650.42533374,0.05615032795772423
2020-06-30,261658.63124232632,782366.7282309482,740800.6784461825,0.05610962704833078
2020-07-31,262324.1083848066,784162.2816304573,743251.0904901477,0.05504356692343371
2020-08-31,264127.0900072823,785435.8452041799,745273.9887272309,0.05388871352606417
2020-09-30,267057.3049797532,788109.8296344153,747184.8736372541,0.05477219553166379
2020-10-31,270797.90253132564,793508.5033718422,749213.5259157728,0.059121967134705855
2020-11-30,275104.6413719473,801982.2975183611,751575.8915087094,0.06706761962317098
2020-12-31,279487.8085937665,812959.8488830262,754511.2111833385,0.07746556556531425
2021-01-31,283959.63389983214,825390.3524970394,758377.1333458433,0.08836397645000726
2021-02-28,288689.96673315385,838552.0838655459,763239.9526449462,0.0986742517338246
2021-03-31,293727.66763346107,852137.4092267526,768732.4993560056,0.10849666163537797
2021-04-30,298956.7059698911,866377.2682664471,774275.7515855227,0.11895182884434075
2021-05-31,304613.6117657412,881374.340336506,779069.7386343842,0.13131635927927254
2021-06-30,310688.0179889198,897297.9853690934,782366.7282309482,0.1469020255986888
2021-07-31,316344.11587348324,914258.3357245522,784162.2816304573,0.16590450362340148
2021-08-31,321011.9920316037,931645.7456281441,785435.8452041799,0.18615129589095325
2021-09-30,324983.04430709773,948044.1258940068,788109.8296344153,0.20293402041918585
2021-10-31,329548.87477778643,962339.1522121846,793508.5033718422,0.21276476322929527
2021-11-30,335099.021673596,975543.9111164879,801982.2975183611,0.21641576645169414
2021-12-31,341354.3356157956,989630.9407584802,812959.8488830262,0.21731834864685262
2022-01-31,348992.0549679142,1006002.232067178,825390.3524970394,0.21881995473261417
2022-02-28,357253.1603247446,1025445.4122573058,838552.0838655459,0.22287623152782787
2022-03-31,366066.1219913156,1047599.5509084543,852137.4092267526,0.22937866541860696
2022-04-30,374242.66870174697,1072311.3372839745,866377.2682664471,0.237695605090823
2022-05-31,381432.0917757761,1097561.9510178072,881374.340336506,0.24528466598966503
2022-06-30,387276.0782254217,1121740.8824688387,897297.9853690934,0.2501319525502148
2022-07-31,390519.7216068762,1142950.8387029448,914258.3357245522,0.25013991564775084
2022-08-31,391328.0867829688,1159227.891608074,931645.7456281441,0.24427970293202717
2022-09-30,390231.2625240036,1169123.8866152666,948044.1258940068,0.23319564425630634
2022-10-31,388847.4261463082,1172079.0709138487,962339.1522121846,0.21794802613976882
2022-11-30,387392.03187308606,1170406.7754532807,975543.9111164879,0.19974791715298257
2022-12-31,385762.81628884486,1166470.7205433978,989630.9407584802,0.17869265450550964
2023-01-31,383982.26921451377,1162002.274308239,1006002.232067178,0.1550692804334095
2023-02-28,382649.89192267857,1157137.1173764446,1025445.4122573058,0.12842390589007247
2023-03-31,382308.1850224138,1152394.9774260372,1047599.5509084543,0.10003385971930467
2023-04-30,382730.1660037185,1148940.346159606,1072311.3372839745,0.07146153007178202
2023-05-31,384052.55378610914,1147688.2429488108,1097561.9510178072,0.04567058094945775
2023-06-30,385854.5038038006,1149090.9048122414,1121740.8824688387,0.024381764782618998
2023-07-31,387903.3719178627,1152637.2235936283,1142950.8387029448,0.008474891974947774
2023-08-31,389858.5536447354,1157810.4295077724,1159227.891608074,-0.0012227639712285576
2023-09-30,391534.1599588287,1163616.4293663986,1169123.8866152666,-0.004710755901851105
2023-10-31,392857.9923366224,1169296.0855214268,1172079.0709138487,-0.002374400722173209
2023-11-30,393848.7624364613,1174250.7059401865,1170406.7754532807,0.0032842688264660413
2023-12-31,394554.2847938362,1178240.9147319123,1166470.7205433978,0.010090432602570143
