date,hpi,trail_1_3,trail_13_15,g
2020-01-31,1326.685388933286,3968.3997250873135,3770.1762177503465,0.05257672211810993
2020-02-29,1334.396268078953,3970.3695346177747,3785.7281872000085,0.04877300701145426
2020-03-31,1343.0240258670228,3982.853602394772,3803.0826684412173,0.04726979390832908
2020-04-30,1347.6737801735435,4004.1056828792616,3826.685165099774,0.04636402267884554
2020-05-31,1352.6264467915803,4025.094074119519,3856.960945405396,0.04359212631240439
2020-06-30,1360.2691198284665,4043.3242528321466,3891.1884315722323,0.03909752095928276
2020-07-31,1374.921362057789,4060.5693467935903,3922.0945622564723,0.035306335005204526
2020-08-31,1388.85793210678,4087.816928677836,3946.5364255535355,0.035798606142216194
2020-09-30,1397.052779456454,4124.048413993036,3963.3786722009486,0.04053857960104135
2020-10-31,1402.3727179012676,4160.8320736210235,3973.4202538982113,0.04716637248198152
2020-11-30,1406.540600071292,4188.283429464502,3976.570090953137,0.05324018781739115
2020-12-31,1413.3438139007053,4205.966097429014,3973.437642252233,0.05852072590850521
2021-01-31,1427.6412014673751,4222.257131873264,3968.3997250873135,0.06396971685617325
2021-02-28,1445.5477326520293,4247.525615439372,3970.3695346177747,0.0698061171397435
2021-03-31,1464.3499666447556,4286.53274802011,3982.853602394772,0.07624662514402858
2021-04-30,1484.9703410809182,4337.53890076416,4004.1056828792616,0.0832728315115634
2021-05-31,1511.844334843591,4394.868040377703,4025.094074119519,0.09186716122630534
2021-06-30,1549.456509551933,4461.164642569265,4043.3242528321466,0.10334080662574663
2021-07-31,1589.4501333156393,4546.271185476442,4060.5693467935903,0.1196142208644666
2021-08-31,1630.5834093194003,4650.750977711164,4087.816928677836,0.13771019075832314
2021-09-30,1661.6601012643494,4769.490052186972,4124.048413993036,0.15650680433428743
2021-10-31,1680.5929350650313,4881.693643899389,4160.8320736210235,0.17324937837518295
2021-11-30,1686.1468489720746,4972.836445648782,4188.283429464502,0.18732089873979474
2021-12-31,1685.832610069138,5028.3998853014555,4205.966097429014,0.1955398043686496
2022-01-31,1688.250539568363,5052.572394106244,4222.257131873264,0.19665198880594903
2022-02-28,1693.2428683940743,5060.229998609575,4247.525615439372,0.19133595809666137
2022-03-31,1705.4385536276725,5067.326018031576,4286.53274802011,0.18215031026465445
2022-04-30,1718.4720727627318,5086.9319615901095,4337.53890076416,0.172769185008099
2022-05-31,1738.8152653967534,5117.153494784478,4394.868040377703,0.1643474724999252
2022-06-30,1758.180853470048,5162.725891787158,4461.164642569265,0.15725966321069262
2022-07-31,1780.0225142734423,5215.468191629533,4546.271185476442,0.14719689584090667
2022-08-31,1790.9674547503955,5277.018633140244,4650.750977711164,0.13465946863860978
2022-09-30,1792.7436248539868,5329.170822493887,4769.490052186972,0.11734603997135529
2022-10-31,1781.978573392798,5363.733593877825,4881.693643899389,0.09874440822005237
2022-11-30,1770.4495714221096,5365.68965299718,4972.836445648782,0.07899982467594402
2022-12-31,1764.7431004576038,5345.171769668895,5028.3998853014555,0.06299655786990943
2023-01-31,1761.9101490351006,5317.171245272511,5052.572394106244,0.052369136061250376
2023-02-28,1766.2936001135888,5297.1028209148135,5060.229998609575,0.04681068298680602
2023-03-31,1778.5766492800244,5292.946849606293,5067.326018031576,0.044524633065223806
2023-04-30,1787.0394054300812,5306.780398428714,5086.9319615901095,0.043218277440825625
2023-05-31,1793.630218431686,5331.909654823694,5117.153494784478,0.04196789489666464
2023-06-30,1792.296989215717,5359.246273141791,5162.725891787158,0.03806523636423487
2023-07-31,1797.1961935270842,5372.966613077484,5215.468191629533,0.03019832844551229
2023-08-31,1795.935844656782,5383.123401174487,5277.018633140244,0.020106953454341436
2023-09-30,1792.319308035234,5385.429027399583,5329.170822493887,0.010556652578715742
2023-10-31,1780.1843943531285,5385.451346219101,5363.733593877825,0.004048999071479598
2023-11-30,1767.8140778326826,5368.4395470451445,5365.68965299718,0.0005124959186613154
2023-12-31,1758.1658616255977,5340.317780221045,5345.171769668895,-0.0009081072895343878
